-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2007 through 12/31/2025 in LST
Location: Latitude  5.3953   Longitude -4.1422 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 42.02 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
GWETROOT        MERRA-2 Root Zone Soil Wetness (1) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR,2009,0.77,3.59,3.74,3.94,6.3,10.64,3.51,1.2,1.07,2.07,4.11,1.42,3.51
PRECTOTCORR,2010,0.84,2.78,4.34,4.91,6.15,8.75,4.11,2.39,3.57,6.49,2.77,1.69,4.07
PRECTOTCORR,2011,0.85,4.54,4.33,4.26,5.31,7.59,2.75,1.08,4.4,6.93,2.63,1.52,3.83
PRECTOTCORR,2012,0.31,1.76,2.23,4.06,6.45,7.55,1.37,0.77,2.31,6.37,3.95,2.51,3.3
PRECTOTCORR,2013,0.26,1.86,3.95,4.53,8.91,6.01,1.83,0.69,2.79,3.38,5.03,2.23,3.46
PRECTOTCORR,2014,0.85,2.2,4.23,7.14,6.11,10.55,4.13,1.73,3.47,3.22,3.71,1.79,4.09
PRECTOTCORR,2015,0.64,3.7,6.56,6.29,5.3,12.1,2.42,0.73,1.49,6.9,5.92,1.02,4.41
PRECTOTCORR,2016,0.52,1.5,3.7,3.43,6.94,7.3,1.35,1.71,3.82,5.37,3.71,2.43,3.48
PRECTOTCORR,2017,2.47,2.08,2.85,4.98,5.5,9.54,2.25,2.69,2.67,6.64,5.1,1.96,4.06
PRECTOTCORR,2018,0.37,4.33,3.46,3.54,5.88,6.21,3.51,3.09,3.52,5.38,4.52,1.18,3.74
PRECTOTCORR,2019,0.91,2.08,3.38,6.09,6.73,6.6,2.54,1.6,6.17,8.54,4.43,1.82,4.24
PRECTOTCORR,2020,0.3,0.97,4.94,4.35,6.42,9.99,2.65,0.59,4.43,8.78,4.56,2.59,4.21
PRECTOTCORR,2021,3.23,3.45,4.08,4.41,4.45,6.78,5.52,4.03,6.86,5.95,4.45,2.07,4.61
PRECTOTCORR,2022,1.66,1.49,2.82,6.3,7.37,12.13,3.4,2.54,3.8,6.63,5.17,1.51,4.57
PRECTOTCORR,2023,0.89,1.46,7.37,7.1,8.5,14.09,5.69,1.58,3.06,7.46,5.8,1.02,5.34
PRECTOTCORR,2024,1.89,0.8,4.46,3.52,6.52,5.99,1.14,1.28,2.31,14.94,2.41,2.05,3.96
PRECTOTCORR,2025,1.13,1.71,3.15,4.23,5.32,9.16,0.6,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
T2M_MAX,2007,35.2,34.8,35.14,31.22,31.78,29.67,28.95,29.35,31.1,31.47,31.93,33.11,35.2
T2M_MAX,2008,34.45,35.58,32.56,31.97,31.26,29.57,28.79,31.02,31.54,31.74,32.33,34.42,35.58
T2M_MAX,2009,34.4,32.48,32.25,31.75,30.02,29.42,28.8,28.62,30.99,31.95,32.69,33.58,34.4
T2M_MAX,2010,35.63,37.83,33.25,33.32,30.44,29.28,28.88,28.69,30.03,30.11,30.29,31.74,37.83
T2M_MAX,2011,32.32,34.74,31.91,32.73,31.67,29.74,28.82,29.95,31.23,29.82,30.65,32.65,34.74
T2M_MAX,2012,34.83,33.58,35.28,32.25,30.81,29.77,28.69,30.56,32.05,31.11,31.47,32.05,35.28
T2M_MAX,2013,35.61,35.07,34.29,31.85,30.42,29.03,28.21,30.24,31.35,31.68,31.49,33.02,35.61
T2M_MAX,2014,33.2,34.28,32.79,32.18,30.91,29.48,28.54,29.04,29.28,30.61,31.21,32.65,34.28
T2M_MAX,2015,33.38,33.12,34.84,30.73,30.35,28.84,28.48,29.26,30.53,30.77,30.92,31.46,34.84
T2M_MAX,2016,34.43,35.53,35.32,33.66,32.74,30.15,28.9,30.21,31.27,31.12,31.82,32.02,35.53
T2M_MAX,2017,33.5,33.53,32.73,32.69,31.69,29.9,28.7,29.72,30.68,30.94,30.47,32.07,33.53
T2M_MAX,2018,34.16,34.85,32.19,32.13,32.05,29.81,28.6,30.52,29.99,30.58,31.16,32.48,34.85
T2M_MAX,2019,34.81,35.71,34.93,33.01,31.85,29.58,29.0,30.63,30.92,29.32,31.2,31.88,35.71
T2M_MAX,2020,34.45,35.64,33.43,34.24,32.03,30.26,28.4,29.79,30.17,30.06,30.4,30.77,35.64
T2M_MAX,2021,31.41,32.64,32.73,31.95,31.85,30.54,28.59,29.19,29.35,29.79,30.61,31.15,32.73
T2M_MAX,2022,32.85,33.7,34.59,32.96,29.98,29.72,28.5,28.41,29.26,29.7,30.42,31.73,34.59
T2M_MAX,2023,33.38,34.44,33.04,31.32,30.83,29.72,29.27,28.87,30.03,30.42,30.94,32.33,34.44
T2M_MAX,2024,34.15,35.27,34.8,34.62,32.86,30.2,30.08,31.04,33.31,31.13,30.74,32.37,35.27
T2M_MAX,2025,32.94,34.42,33.87,33.44,32.53,30.87,30.45,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
